tablescraper-selected-row,tablescraper-selected-row href,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3
00949,https://www.zipdatamaps.com/00949,Non-Unique,Toa Baja,https://www.zipdatamaps.com/zipcodes-toa-baja-pr,Toa Baja,https://www.zipdatamaps.com/toa-baja-pr-county-zipcodes
00950,https://www.zipdatamaps.com/00950,PO Box,Toa Baja,https://www.zipdatamaps.com/zipcodes-toa-baja-pr,Dorado,https://www.zipdatamaps.com/dorado-pr-county-zipcodes
00951,https://www.zipdatamaps.com/00951,PO Box,Toa Baja,https://www.zipdatamaps.com/zipcodes-toa-baja-pr,Toa Baja,https://www.zipdatamaps.com/toa-baja-pr-county-zipcodes
00952,https://www.zipdatamaps.com/00952,Non-Unique,Sabana Seca,https://www.zipdatamaps.com/zipcodes-sabana-seca-pr,Toa Baja,https://www.zipdatamaps.com/toa-baja-pr-county-zipcodes
00953,https://www.zipdatamaps.com/00953,Non-Unique,Toa Alta,https://www.zipdatamaps.com/zipcodes-toa-alta-pr,Toa Alta,https://www.zipdatamaps.com/toa-alta-pr-county-zipcodes
00954,https://www.zipdatamaps.com/00954,PO Box,Toa Alta,https://www.zipdatamaps.com/zipcodes-toa-alta-pr,Toa Alta,https://www.zipdatamaps.com/toa-alta-pr-county-zipcodes
00955,https://www.zipdatamaps.com/00955,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00956,https://www.zipdatamaps.com/00956,Non-Unique,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00957,https://www.zipdatamaps.com/00957,Non-Unique,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00958,https://www.zipdatamaps.com/00958,PO Box,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00959,https://www.zipdatamaps.com/00959,Non-Unique,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00960,https://www.zipdatamaps.com/00960,PO Box,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00961,https://www.zipdatamaps.com/00961,Non-Unique,Bayamon,https://www.zipdatamaps.com/zipcodes-bayamon-pr,Bayamon,https://www.zipdatamaps.com/bayamon-pr-county-zipcodes
00962,https://www.zipdatamaps.com/00962,Non-Unique,Catano,https://www.zipdatamaps.com/zipcodes-catano-pr,Catano,https://www.zipdatamaps.com/catano-pr-county-zipcodes
